CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Marital_Status,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,age_group,inactivity_ratio,trans_intensity,Total_Trans_Amt_log,Total_Trans_Ct_log,Credit_Limit_log,Gender_F,Gender_M,Gender_missing,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Education_Level_missing,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Income_Category_missing,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Card_Category_missing
768805383,Existing Customer,45,3,Married,39,5,1,3,12691.0,777,1.335,1144,42,1.625,0.061,41-50,0.02564102564102564,1.0769230769230769,7.0431599159883405,3.7612001156935624,9.448727152703086,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
818770008,Existing Customer,49,5,Single,44,6,1,2,8256.0,864,1.541,1291,33,3.714,0.105,41-50,0.022727272727272728,0.75,7.163946684342547,3.5263605246161616,9.01881660441743,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
713982108,Existing Customer,51,3,Married,36,4,1,0,3418.0,0,2.594,1887,20,2.333,0.0,51-60,0.027777777777777776,0.5555555555555556,7.543273346705446,3.044522437723423,8.137103389639302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
769911858,Existing Customer,40,4,Unknown,34,3,4,1,3313.0,2517,1.405,1171,20,2.333,0.76,31-40,0.11764705882352941,0.5882352941176471,7.066466970136958,3.044522437723423,8.105911197986508,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
709106358,Existing Customer,40,3,Married,21,5,1,0,4716.0,0,2.175,816,28,2.5,0.0,31-40,0.047619047619047616,1.3333333333333333,6.705639094860003,3.367295829986474,8.458928283284262,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
713061558,Existing Customer,44,2,Married,36,3,1,2,4010.0,1247,1.376,1088,24,0.846,0.311,41-50,0.027777777777777776,0.6666666666666666,6.9930151229329605,3.2188758248682006,8.296795865770052,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
810347208,Existing Customer,51,4,Married,46,6,1,3,34516.0,2264,1.975,1330,31,0.722,0.066,51-60,0.021739130434782608,0.6739130434782609,7.193685818395112,3.4657359027997265,10.44920723527944,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
818906208,Existing Customer,32,0,Unknown,27,2,2,2,29081.0,1396,2.204,1538,36,0.714,0.048,31-40,0.07407407407407407,1.3333333333333333,7.338888133838879,3.6109179126442243,10.277874705073431,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
710930508,Existing Customer,37,3,Single,36,5,2,0,22352.0,2517,3.355,1350,24,1.182,0.113,31-40,0.05555555555555555,0.6666666666666666,7.208600337960199,3.2188758248682006,10.014715819221838,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
719661558,Existing Customer,48,2,Single,36,6,3,3,11656.0,1677,1.524,1441,32,0.882,0.144,41-50,0.08333333333333333,0.8888888888888888,7.273786317844895,3.4965075614664802,9.363662136919832,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
708790833,Existing Customer,42,5,Unknown,31,5,3,2,6748.0,1467,0.831,1201,42,0.68,0.217,41-50,0.0967741935483871,1.3548387096774193,7.091742115095153,3.7612001156935624,8.817149624743406,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
710821833,Existing Customer,65,1,Married,54,6,2,3,9095.0,1587,1.433,1314,26,1.364,0.174,60+,0.037037037037037035,0.48148148148148145,7.181591944611865,3.295836866004329,9.115590035430372,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
710599683,Existing Customer,56,1,Single,36,3,6,0,11751.0,0,3.397,1539,17,3.25,0.0,51-60,0.16666666666666666,0.4722222222222222,7.3395376954076745,2.8903717578961645,9.371778717853713,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
816082233,Existing Customer,35,3,Unknown,30,5,1,3,8547.0,1666,1.163,1311,33,2.0,0.195,31-40,0.03333333333333333,1.1,7.179307969504034,3.5263605246161616,9.053452616439039,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
712396908,Existing Customer,57,2,Married,48,5,2,2,2436.0,680,1.19,1570,29,0.611,0.279,51-60,0.041666666666666664,0.6041666666666666,7.359467638255621,3.4011973816621555,7.798523053625206,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
714885258,Existing Customer,44,4,Unknown,37,5,1,2,4234.0,972,1.707,1348,27,1.7,0.23,41-50,0.02702702702702703,0.7297297297297297,7.207118856207756,3.332204510175204,8.351138607086154,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
